sep=,
time_ms,cost_min
3421.8,166.532484
3423.5,166.515774
3434.9,166.386656
3436.9,166.368126
3440.2,166.296155
3454.8,166.146174
3457.7,166.126912
3459.0,166.074497
3472.8,166.001643
3475.3,165.921290
3477.2,165.858230
3488.9,165.560711
3490.1,165.299120
3493.8,165.245032
3495.0,165.176177
3507.6,165.107596
3508.8,165.102247
3520.0,165.092630
3521.4,165.032072
3532.6,165.030090
3533.5,164.874714
3544.6,164.863071
3546.3,164.747129
3573.8,164.695475
3576.0,164.610459
3588.3,164.596003
3591.7,164.594512
3620.7,164.572546
3621.6,164.454110
3867.8,164.429761
3879.6,164.427182
3880.9,164.359439
3893.1,164.345198
3894.4,164.341746
3895.7,164.321137
3907.0,164.320072
3931.3,164.119567
3988.5,164.114928
4024.5,164.001877
4025.9,163.994083
4027.6,163.960082
4039.9,163.940945
4041.6,163.802398
4042.5,163.800121
4053.7,163.718416
4055.0,163.582779
4055.5,163.462556
4067.1,163.309339
4107.7,163.198304
4128.2,162.928489
4142.4,162.915306
4156.2,162.872673
4169.6,162.795195
4172.6,162.766826
4185.6,162.701200
4186.8,162.690090
4187.8,162.665240
4575.6,162.656298
4586.3,162.561969
4587.1,162.396084
4598.4,162.352960
4599.1,162.295777
4609.9,162.250198
4610.4,162.198086
4621.5,162.168281
4622.7,162.158225
4634.4,162.104321
4635.6,162.055630
4647.2,162.010006
4647.6,161.917346
4663.7,161.845931
4664.5,161.793769
4664.9,161.642296
4676.2,161.639990
4676.7,161.599345
4687.8,161.575829
4688.6,161.574001
4712.1,161.511381
4725.0,161.431728
4738.3,161.430886
4879.6,161.373909
4890.5,160.612912
4891.9,160.455234
4914.6,160.453444
4916.1,160.442199
4928.3,160.310951
4935.3,160.279924
4936.5,160.131589
4947.6,160.120817
4960.0,160.100866
4960.9,159.935478
4971.9,159.879009
5021.1,159.872774
5022.0,159.868637
5133.4,159.703684
5144.7,159.584647
5145.6,159.531456
5168.6,159.529965
5182.1,159.516325
5183.7,159.425529
5453.1,159.420858
5556.7,159.298983
5558.4,159.236171
5570.4,159.235877
5582.0,159.230851
5593.3,159.230726
5620.6,159.223857
5621.1,159.221973
5631.9,159.141984
5632.4,159.091220
5643.2,159.038386
5643.6,159.030088
5654.5,158.967922
5655.0,158.909688
5671.0,158.850482
5800.4,158.778741
5801.0,158.759552
5812.3,158.729414
5823.6,158.665766
5824.7,158.644058
5965.8,158.637638
5966.3,158.621573
5977.5,158.617805
5990.3,158.604325
6023.8,158.603531
6040.5,158.563115
7525.8,158.547786
7537.0,158.526016
7537.8,158.521722
7549.0,158.478487
7549.5,158.472840
7734.4,158.446385
7745.1,158.429345
7745.7,157.941484
7810.3,157.901614
7811.2,157.899252
7822.5,157.592607
7823.0,157.522822
7833.8,157.509525
7834.2,157.473037
7845.1,157.388794
7845.5,157.332225
7856.9,157.262672
7857.3,157.197046
7868.4,157.192108
7868.9,157.179073
7879.8,157.106705
7890.7,156.980681
7891.1,156.824398
7907.3,156.789620
7918.7,156.673593
7919.5,156.599502
7930.8,156.396601
7931.6,156.394044
7942.3,156.384741
7942.7,156.363915
7953.7,156.275610
7954.6,156.270940
7976.1,156.264404
7987.5,156.201083
8112.9,156.183365
8123.8,156.153333
8124.3,156.150888
8382.7,156.070082
8671.2,156.062556
8683.1,156.055659
8775.7,156.045542
8776.5,156.035884
8787.6,155.852596
8788.5,155.774313
8799.4,155.766193
8845.8,155.441749
8857.5,155.238039
8867.9,155.178833
8868.4,155.176400
9009.1,155.169130
9080.2,155.116574
9081.0,155.019164
9092.0,154.927976
9092.4,154.900150
9206.8,154.898665
9217.4,154.889673
9259.5,154.888685
9929.2,154.888076
9929.3,154.882781
10530.1,154.875407
10540.7,154.868215
16654.6,154.867227
16987.5,154.859323
16987.9,154.848131
16998.5,154.842749
16998.9,154.841258
18547.5,154.839871
18547.8,154.735624
18558.5,154.698400
18558.8,154.644669
18756.6,154.593084
18756.8,154.580546
18767.4,154.557889
18788.6,154.544412
19049.6,154.535089
19049.7,154.504597
19060.3,154.374519
19071.0,154.315061
20387.4,154.311812
20693.7,154.273792
20704.2,154.268092
