sep=,
time_ms,cost_min
9642.3,157.920873
9658.6,157.835564
9658.8,157.800799
9669.6,157.589151
9685.4,157.500717
9711.9,157.462529
9712.1,157.411372
9722.7,157.264163
9991.1,157.232039
10001.8,157.149806
10012.7,157.137893
10023.2,157.099590
10127.6,156.980517
10143.1,156.974490
10143.4,156.928744
10159.1,156.826403
10159.4,156.821406
10259.4,156.652533
10270.2,156.649524
10270.5,156.599102
10281.1,156.557272
10281.5,156.546180
10329.7,156.450046
10849.9,156.270159
10924.5,156.102169
10924.9,156.082239
11104.4,156.043335
11427.3,156.027224
11427.5,155.995092
11438.3,155.956058
11438.8,155.927518
11449.4,155.846669
11511.4,155.825187
11543.5,155.746832
12290.8,155.719687
12291.0,155.717684
12301.6,155.680815
12301.9,155.673881
12312.5,155.631993
12960.5,155.580096
12971.1,155.579041
13100.1,155.576496
13110.8,155.576191
13111.0,155.554334
13121.7,155.541850
13132.5,155.515525
13607.7,155.505598
13618.3,155.473654
13629.0,155.453683
13713.5,155.419910
13776.2,155.414559
13776.4,155.397330
13787.0,155.383748
13787.3,155.378617
13995.2,155.324162
13995.3,155.302428
14006.0,155.271717
14037.6,155.212497
14037.8,155.129778
14048.3,155.084477
14079.5,155.033986
14079.8,155.008150
14105.7,154.995120
14217.7,154.986200
14218.0,154.968937
14228.7,154.934596
14229.3,154.926994
14250.7,154.926665
14319.4,154.912705
14330.4,154.903838
14330.6,154.833960
14503.7,154.780676
14509.1,154.770046
17622.6,154.762239
17638.2,154.758043
17653.8,154.744896
17973.7,154.737793
18145.4,154.723033
18145.7,154.703829
18177.4,154.674109
18177.7,154.654458
18188.4,154.627513
18188.6,154.611339
19075.5,154.597700
19091.3,154.593547
19133.6,154.589211
19155.0,154.588436
19203.4,154.582816
19203.7,154.579614
19214.2,154.575290
19323.4,154.573772
19708.2,154.555328
19708.3,154.442822
19718.8,154.418509
19719.1,154.362461
21764.0,154.360626
21878.0,154.351237
21878.2,154.344582
22131.5,154.332301
22142.0,154.323322
22152.7,154.298611
22653.3,154.280810
